Food Name,Sample Code,Product Description,Food Group,Country of Origin,Intended Use,Sample Type,Sub Sample,Sample Collection Date,Reason Collected,Human Illness Flag,Sampling Location Type,Sampling Location City Name,Sampling Location Province,Sampling Location Country,Lab Name,Analysis Completion Date,Result Operator,Result Value,Units of measurement,Analyte Name,Analyte Group,LOD,LOQ,MDL,Basis for Result,Quality Assurance,Result Comments,Test Method Name,Test Method Code,Instrumentation,Method Comments,Project Code,Project Name,Project Description,Organization
Canned Luncheon Meat,TDS1998-BB09-Hg,"BB09 Luncheon meats, canned (corned beef and canned ham)/Viandes froides en conserve (bœuf salé et jambon en conserve)",Other,Unknown,Ready-to-eat,Composite,Yes,1998-01-15,Surveillance,No,Grocery Store,Whitehorse,Yukon,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,1999-01-01,=,0.36,ng/g,Mercury (Hg),Elements,0,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS1998.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 1998 Data,,Health Canada
Canned Luncheon Meat,TDS2000-BB09-Hg,"BB09 Luncheon meats, canned (corned beef and canned ham)/Viandes froides en conserve (bœuf salé et jambon en conserve)",Other,Unknown,Ready-to-eat,Composite,Yes,2000-09-15,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,2001-01-01,=,1.5,ng/g,Mercury (Hg),Elements,0,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS2000.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 2000 Data,,Health Canada
Carrots,TDS1998-GG06-Hg,GG06 Carrots (Cooked and raw)/Carottes (cuites et crues),Carrots,Unknown,Ready-to-eat,Composite,Yes,1998-01-15,Surveillance,No,Grocery Store,Whitehorse,Yukon,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,1999-01-01,=,0.29,ng/g,Mercury (Hg),Elements,0,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS1998.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 1998 Data,,Health Canada
Carrots,TDS2000-GG06-Hg,GG06 Carrots (Cooked and raw)/Carottes (cuites et crues),Carrots,Unknown,Ready-to-eat,Composite,Yes,2000-09-15,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,2001-01-01,=,0.47,ng/g,Mercury (Hg),Elements,0,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS2000.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 2000 Data,,Health Canada
Cauliflower,TDS1998-GG07-Hg,GG07 Cauliflowers (Cooked and raw)/Chou-fleur (cuit et cru),Cauliflower,Unknown,Ready-to-eat,Composite,Yes,1998-01-15,Surveillance,No,Grocery Store,Whitehorse,Yukon,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,1999-01-01,<LOD/MDL,0,ng/g,Mercury (Hg),Elements,0.1,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS1998.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 1998 Data,,Health Canada
Cauliflower,TDS2000-GG07-Hg,GG07 Cauliflowers (Cooked and raw)/Chou-fleur (cuit et cru),Cauliflower,Unknown,Ready-to-eat,Composite,Yes,2000-09-15,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,2001-01-01,=,0.28,ng/g,Mercury (Hg),Elements,0,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS2000.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 2000 Data,,Health Canada
Celery,TDS1998-GG08-Hg,GG08 Celery (Cooked and raw)/Céleri (cuit et cru),Celery,Unknown,Ready-to-eat,Composite,Yes,1998-01-15,Surveillance,No,Grocery Store,Whitehorse,Yukon,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,1999-01-01,=,0.25,ng/g,Mercury (Hg),Elements,0,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS1998.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 1998 Data,,Health Canada
Celery,TDS2000-GG08-Hg,GG08 Celery (Cooked and raw)/Céleri (cuit et cru),Celery,Unknown,Ready-to-eat,Composite,Yes,2000-09-15,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,2001-01-01,=,0.5,ng/g,Mercury (Hg),Elements,0,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS2000.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 2000 Data,,Health Canada
"Cereal, Rice, Bran",TDS1998-FF08-Hg,"FF08 Cereals, rice & bran (Rice crispies, all-bran, and raisin bran) /Céréales de riz et son (Rice Krispies, All-Bran et Raisin Bran)",Composite cereal,Unknown,Ready-to-eat,Composite,Yes,1998-01-15,Surveillance,No,Grocery Store,Whitehorse,Yukon,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,1999-01-01,<LOD/MDL,0,ng/g,Mercury (Hg),Elements,0.45,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS1998.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 1998 Data,,Health Canada
"Cereal, Rice, Bran",TDS2000-FF08-Hg,"FF08 Cereals, rice & bran (Rice crispies, all-bran, and raisin bran) /Céréales de riz et son (Rice Krispies, All-Bran et Raisin Bran)",Composite cereal,Unknown,Ready-to-eat,Composite,Yes,2000-09-15,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,2001-01-01,=,1.4,ng/g,Mercury (Hg),Elements,0,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS2000.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 2000 Data,,Health Canada
"Cheese, Hard",TDS1998-AA09-Hg,AA09 Cheese (cheddar and mozzerella)/Fromage (cheddar et mozzarella),Ripened cheese,Unknown,Ready-to-eat,Composite,Yes,1998-01-15,Surveillance,No,Grocery Store,Whitehorse,Yukon,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,1999-01-01,<LOD/MDL,0,ng/g,Mercury (Hg),Elements,0.38,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS1998.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 1998 Data,,Health Canada
"Cheese, Hard",TDS2000-AA09-Hg,AA09 Cheese (cheddar and mozzerella)/Fromage (cheddar et mozzarella),Ripened cheese,Unknown,Ready-to-eat,Composite,Yes,2000-09-15,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,2001-01-01,=,1.8,ng/g,Mercury (Hg),Elements,0,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS2000.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 2000 Data,,Health Canada
"Cheese, Processed",TDS1998-AA11-Hg,"AA11 Cheese, processed/Fromage fondu",Unripened cheese,Unknown,Ready-to-eat,Composite,Yes,1998-01-15,Surveillance,No,Grocery Store,Whitehorse,Yukon,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,1999-01-01,<LOD/MDL,0,ng/g,Mercury (Hg),Elements,0.51,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS1998.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 1998 Data,,Health Canada
"Cheese, Processed",TDS2000-AA11-Hg,"AA11 Cheese, processed/Fromage fondu",Unripened cheese,Unknown,Ready-to-eat,Composite,Yes,2000-09-15,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,2001-01-01,=,1.02,ng/g,Mercury (Hg),Elements,0,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS2000.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 2000 Data,,Health Canada
Chocolate Candy Bars,TDS1998-JJ01-Hg,JJ01 Chocolate bars (Plain chocolate bars)/Tablettes de chocolat (nature),Solid,Unknown,Ready-to-eat,Composite,Yes,1998-01-15,Surveillance,No,Grocery Store,Whitehorse,Yukon,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,1999-01-01,<LOD/MDL,0,ng/g,Mercury (Hg),Elements,0.54,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS1998.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 1998 Data,,Health Canada
Chocolate Candy Bars,TDS2000-JJ01-Hg,JJ01 Chocolate bars (Plain chocolate bars)/Tablettes de chocolat (nature),Solid,Unknown,Ready-to-eat,Composite,Yes,2000-09-15,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,2001-01-01,<LOD/MDL,0,ng/g,Mercury (Hg),Elements,0.2,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS2000.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 2000 Data,,Health Canada
"Citrus Juice, Canned",TDS1998-HH09-Hg,"HH09 Citrus juice, canned (Orange and grapefruit, canned juice)/Jus d’agrumes en conserve (jus d’orange et de pamplemousse en conserve)",Fruit juice,Unknown,Ready-to-eat,Composite,Yes,1998-01-15,Surveillance,No,Grocery Store,Whitehorse,Yukon,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,1999-01-01,<LOD/MDL,0,ng/g,Mercury (Hg),Elements,0.097,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS1998.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 1998 Data,,Health Canada
"Citrus Juice, Canned",TDS2000-HH09-Hg,"HH09 Citrus juice, canned (Orange and grapefruit, canned juice)/Jus d’agrumes en conserve (jus d’orange et de pamplemousse en conserve)",Fruit juice,Unknown,Ready-to-eat,Composite,Yes,2000-09-15,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,2001-01-01,<LOD/MDL,0,ng/g,Mercury (Hg),Elements,0.04,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS2000.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 2000 Data,,Health Canada
"Coffee, Roast & Ground",TDS1998-KK03-Hg,KK03 Coffee (Instant and brewed coffee)/Café (instantané et infusé),"Coffee and substitutes, tea, hot cereal and grain beverages, excl cocoa",Unknown,Ready-to-eat,Composite,Yes,1998-01-15,Surveillance,No,Grocery Store,Whitehorse,Yukon,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,1999-01-01,<LOD/MDL,0,ng/g,Mercury (Hg),Elements,0.048,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS1998.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 1998 Data,,Health Canada
"Coffee, Roast & Ground",TDS2000-KK04-Hg,KK04 Coffee (Instant and brewed coffee)/Café (instantané et infusé),"Coffee and substitutes, tea, hot cereal and grain beverages, excl cocoa",Unknown,Ready-to-eat,Composite,Yes,2000-09-15,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,2001-01-01,<LOD/MDL,0,ng/g,Mercury (Hg),Elements,0.08,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS2000.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 2000 Data,,Health Canada
"Cold Cereals, Corn Based",TDS1998-FF06-Hg,"FF06 Cereal, corn (Corn flake type cereal)/Céréales de maïs (de type Corn Flakes)",Ready-to-eat cereals,Unknown,Ready-to-eat,Composite,Yes,1998-01-15,Surveillance,No,Grocery Store,Whitehorse,Yukon,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,1999-01-01,<LOD/MDL,0,ng/g,Mercury (Hg),Elements,0.33,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS1998.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 1998 Data,,Health Canada
"Cold Cereals, Corn Based",TDS2000-FF06-Hg,"FF06 Cereal, corn (Corn flake type cereal)/Céréales de maïs (de type Corn Flakes)",Ready-to-eat cereals,Unknown,Ready-to-eat,Composite,Yes,2000-09-15,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,2001-01-01,<LOD/MDL,0,ng/g,Mercury (Hg),Elements,0.18,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS2000.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 2000 Data,,Health Canada
Cookies,TDS1998-FF09-Hg,FF09 Cookies/Biscuits,Cookies,Unknown,Ready-to-eat,Composite,Yes,1998-01-15,Surveillance,No,Grocery Store,Whitehorse,Yukon,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,1999-01-01,=,0.41,ng/g,Mercury (Hg),Elements,0,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS1998.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 1998 Data,,Health Canada
Cookies,TDS2000-FF09-Hg,FF09 Cookies/Biscuits,Cookies,Unknown,Ready-to-eat,Composite,Yes,2000-09-15,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,2001-01-01,<LOD/MDL,0,ng/g,Mercury (Hg),Elements,0.11,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS2000.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 2000 Data,,Health Canada
Cooking Fats & Salad Oils,TDS1998-II01-Hg,"II01 Cooking Fats and salad oils (Lard, vegetable shortening, canola, and corn)/Huiles à friture et huiles à salade (saindoux, shortening végétal, huile de canola et huile de maïs)",Blends of butter and margarine,Unknown,Ready-to-eat,Composite,Yes,1998-01-15,Surveillance,No,Grocery Store,Whitehorse,Yukon,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,1999-01-01,<LOD/MDL,0,ng/g,Mercury (Hg),Elements,0.25,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS1998.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 1998 Data,,Health Canada
Cooking Fats & Salad Oils,TDS2000-II01-Hg,"II01 Cooking Fats and salad oils (Lard, vegetable shortening, canola, and corn)/Huiles à friture et huiles à salade (saindoux, shortening végétal, huile de canola et huile de maïs)",Blends of butter and margarine,Unknown,Ready-to-eat,Composite,Yes,2000-09-15,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,2001-01-01,<LOD/MDL,0,ng/g,Mercury (Hg),Elements,0.38,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS2000.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 2000 Data,,Health Canada
Corn,TDS1998-GG09-Hg,"GG09 Corn (Cooked fresh, canned, and creamed)/Maïs (cuit frais, en conserve et en crème)",Corn,Unknown,Ready-to-eat,Composite,Yes,1998-01-15,Surveillance,No,Grocery Store,Whitehorse,Yukon,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,1999-01-01,<LOD/MDL,0,ng/g,Mercury (Hg),Elements,0.11,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS1998.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 1998 Data,,Health Canada
Corn,TDS2000-GG09-Hg,"GG09 Corn (Cooked fresh, canned, and creamed)/Maïs (cuit frais, en conserve et en crème)",Corn,Unknown,Ready-to-eat,Composite,Yes,2000-09-15,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,2001-01-01,=,0.21,ng/g,Mercury (Hg),Elements,0,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS2000.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 2000 Data,,Health Canada
Cottage Cheese,TDS1998-AA10-Hg,"AA10 Cheese, cottage (cottage Cheese 2%)/Fromage cottage (fromage cottage 2 %)",Unripened cheese,Unknown,Ready-to-eat,Composite,Yes,1998-01-15,Surveillance,No,Grocery Store,Whitehorse,Yukon,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,1999-01-01,<LOD/MDL,0,ng/g,Mercury (Hg),Elements,0.27,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS1998.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 1998 Data,,Health Canada
Cottage Cheese,TDS2000-AA10-Hg,"AA10 Cheese, cottage (cottage Cheese 2%)/Fromage cottage (fromage cottage 2 %)",Unripened cheese,Unknown,Ready-to-eat,Composite,Yes,2000-09-15,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,2001-01-01,=,0.94,ng/g,Mercury (Hg),Elements,0,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS2000.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 2000 Data,,Health Canada
"Crackers, other",TDS1998-FF10-Hg,FF10 Crackers (soda crackers)/Craquelins (biscuits soda),Crackers,Unknown,Ready-to-eat,Composite,Yes,1998-01-15,Surveillance,No,Grocery Store,Whitehorse,Yukon,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,1999-01-01,<LOD/MDL,0,ng/g,Mercury (Hg),Elements,0.35,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS1998.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 1998 Data,,Health Canada
"Crackers, other",TDS2000-FF10-Hg,FF10 Crackers (soda crackers)/Craquelins (biscuits soda),Crackers,Unknown,Ready-to-eat,Composite,Yes,2000-09-15,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,2001-01-01,<LOD/MDL,0,ng/g,Mercury (Hg),Elements,0.18,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS2000.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 2000 Data,,Health Canada
Cream,TDS1998-AA06-Hg,AA06 Cream/Crème,Pasteurized cream (plain),Unknown,Ready-to-eat,Composite,Yes,1998-01-15,Surveillance,No,Grocery Store,Whitehorse,Yukon,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,1999-01-01,<LOD/MDL,0,ng/g,Mercury (Hg),Elements,0.16,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS1998.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 1998 Data,,Health Canada
Cream,TDS2000-AA06-Hg,AA06 Cream/Crème,Pasteurized cream (plain),Unknown,Ready-to-eat,Composite,Yes,2000-09-15,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,2001-01-01,=,0.15,ng/g,Mercury (Hg),Elements,0,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS2000.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 2000 Data,,Health Canada
"Cucumbers, English",TDS1998-GG10-Hg,GG10 Cucumbers (Fresh and pickled)/Concombres (frais et marinés),Cucumbers,Unknown,Ready-to-eat,Composite,Yes,1998-01-15,Surveillance,No,Grocery Store,Whitehorse,Yukon,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,1999-01-01,<LOD/MDL,0,ng/g,Mercury (Hg),Elements,0.12,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS1998.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 1998 Data,,Health Canada
"Cucumbers, English",TDS2000-GG10-Hg,GG10 Cucumbers (Fresh and pickled)/Concombres (frais et marinés),Cucumbers,Unknown,Ready-to-eat,Composite,Yes,2000-09-15,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,2001-01-01,=,0.14,ng/g,Mercury (Hg),Elements,0,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS2000.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 2000 Data,,Health Canada
"Danish, Donuts, Croissants",TDS1998-FF11-Hg,"FF11 Danish, donuts & croissants/Danoises, beignets et croissants","Fine bakery products (e.g., doughnuts, sweet rolls, scones, muffins)",Unknown,Ready-to-eat,Composite,Yes,1998-01-15,Surveillance,No,Grocery Store,Whitehorse,Yukon,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,1999-01-01,=,0.48,ng/g,Mercury (Hg),Elements,0,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS1998.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 1998 Data,,Health Canada
"Danish, Donuts, Croissants",TDS2000-FF11-Hg,"FF11 Danish, donuts & croissants/Danoises, beignets et croissants","Fine bakery products (e.g., doughnuts, sweet rolls, scones, muffins)",Unknown,Ready-to-eat,Composite,Yes,2000-09-15,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,2001-01-01,<LOD/MDL,0,ng/g,Mercury (Hg),Elements,0.14,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS2000.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 2000 Data,,Health Canada
"Dessert, Baby Food",TDS1998-LL02-Hg,LL02 Desserts (Babyfood)/Desserts (aliments pour bébés),Babyfood,Unknown,Ready-to-eat,Composite,Yes,1998-01-15,Surveillance,No,Grocery Store,Whitehorse,Yukon,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,1999-01-01,<LOD/MDL,0,ng/g,Mercury (Hg),Elements,0.064,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS1998.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 1998 Data,,Health Canada
"Dessert, Baby Food",TDS2000-LL02-Hg,LL02 Desserts (Babyfood)/Desserts (aliments pour bébés),Babyfood,Unknown,Ready-to-eat,Composite,Yes,2000-09-15,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,HC FD BCS FRD Metal and Inorganic Speciation in Foods,2001-01-01,=,0.19,ng/g,Mercury (Hg),Elements,0,,,As consumed,Lab used only QA and reference standards during sampling and analysis,,Analysis of Total Mercury,,Mercury Analyzer,,BCS.TDS2000.Mercury.Hg,Survey of Total Mercury in Total Diet Food Composites and Estimation of the Dietary Intake of Mercury by Adults and Children from Two Canadian Cities - Year 2000 Data,,Health Canada
