Food Name,Sample Code,Product Description,Food Group,Country of Origin,Sample Type,Sub Sample,Sample Collection Date,Reason Collected,Human Illness Flag,Sampling Location Type,Sampling Location City Name,Sampling Location Province,Sampling Location Country,Lab Name,Analysis Completion Date,Result Operator,Result Value,Units of measurement,Analyte Name,Analyte Group,LOD,LOQ,MDL,% Recovery,Basis for Result,Quality Assurance,Result Comments,Test Method Name,Test Method Code,Instrumentation,Method Comments,Project Code,Project Name,Project Description,Organization
"Cabbage, Green",TDS2009-GG05-BPA,,Cabbage,Unknown,Composite,Yes,2009-01-01,Surveillance,No,Grocery Store,Calgary,Alberta,Canada,HC FD BCS FRD Food Packaging Chemicals,2009-01-01,<LOD/MDL,0,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,1.3,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2009.BPA,Total Diet Study 2009 Bisphenol A,,Health Canada
"Cabbage, Green",TDS2010-GG05-BPA,,Cabbage,Unknown,Composite,Yes,2010-01-01,Surveillance,No,Grocery Store,St. John's,Newfoundland and Labrador,Canada,HC FD BCS FRD Food Packaging Chemicals,2010-01-01,<LOD/MDL,0,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,1.3,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2010.BPA,Total Diet Study 2010 Bisphenol A,,Health Canada
"Cabbage, Green",TDS2011-GG05-BPA,,Cabbage,Unknown,Composite,Yes,2011-01-01,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,HC FD BCS FRD Food Packaging Chemicals,2011-01-01,=,0.61,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,1.3,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2011.BPA,Total Diet Study 2011 Bisphenol A,,Health Canada
"Cabbage, Green",TDS2012-GG05-BPA,,Cabbage,Unknown,Composite,Yes,2012-01-01,Surveillance,No,Grocery Store,Vancouver,British Columbia,Canada,HC FD BCS FRD Food Packaging Chemicals,2012-01-01,=,0.43,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,1.3,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2012.BPA,Total Diet Study 2012 BPA,,Health Canada
"Cabbage, Green",TDS2016-GG05-BPA,GG05 Cabbage (Cooked and raw)/Chou (cuit et cru),Cabbage,Unknown,Composite,Yes,2016-01-01,Surveillance,No,Grocery Store,Québec,Quebec,Canada,HC FD BCS FRD Food Packaging Chemicals,2016-01-01,<LOD/MDL,0,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,,,4.616465295,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2016.BPA,Total Diet Study 2016 Bisphenol A,,Health Canada
Cake,TDS2009-FF04-BPA,,Cakes,Unknown,Composite,Yes,2009-01-01,Surveillance,No,Grocery Store,Calgary,Alberta,Canada,HC FD BCS FRD Food Packaging Chemicals,2009-01-01,<LOD/MDL,0,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,1.3,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2009.BPA,Total Diet Study 2009 Bisphenol A,,Health Canada
Cake,TDS2010-FF04-BPA,,Cakes,Unknown,Composite,Yes,2010-01-01,Surveillance,No,Grocery Store,St. John's,Newfoundland and Labrador,Canada,HC FD BCS FRD Food Packaging Chemicals,2010-01-01,<LOD/MDL,0,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,1.3,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2010.BPA,Total Diet Study 2010 Bisphenol A,,Health Canada
Cake,TDS2011-FF04-BPA,,Cakes,Unknown,Composite,Yes,2011-01-01,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,HC FD BCS FRD Food Packaging Chemicals,2011-01-01,=,0.43,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,1.3,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2011.BPA,Total Diet Study 2011 Bisphenol A,,Health Canada
Cake,TDS2012-FF04-BPA,,Cakes,Unknown,Composite,Yes,2012-01-01,Surveillance,No,Grocery Store,Vancouver,British Columbia,Canada,HC FD BCS FRD Food Packaging Chemicals,2012-01-01,<LOD/MDL,0,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,1.3,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2012.BPA,Total Diet Study 2012 BPA,,Health Canada
Cake,TDS2016-FF04-BPA,FF04 Cake (Cake with icing)/Gâteau (avec glaçage),Cakes,Unknown,Composite,Yes,2016-01-01,Surveillance,No,Grocery Store,Québec,Quebec,Canada,HC FD BCS FRD Food Packaging Chemicals,2016-01-01,<LOD/MDL,0,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,,,1.459499518,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2016.BPA,Total Diet Study 2016 Bisphenol A,,Health Canada
Canned Luncheon Meat,TDS2009-BB09-BPA,,Other,Unknown,Composite,Yes,2009-01-01,Surveillance,No,Grocery Store,Calgary,Alberta,Canada,HC FD BCS FRD Food Packaging Chemicals,2009-01-01,=,11,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,1.3,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2009.BPA,Total Diet Study 2009 Bisphenol A,,Health Canada
Canned Luncheon Meat,TDS2010-BB09-BPA,,Other,Unknown,Composite,Yes,2010-01-01,Surveillance,No,Grocery Store,St. John's,Newfoundland and Labrador,Canada,HC FD BCS FRD Food Packaging Chemicals,2010-01-01,=,18,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,1.3,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2010.BPA,Total Diet Study 2010 Bisphenol A,,Health Canada
Canned Luncheon Meat,TDS2011-BB09-BPA,,Other,Unknown,Composite,Yes,2011-01-01,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,HC FD BCS FRD Food Packaging Chemicals,2011-01-01,=,11,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,1.3,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2011.BPA,Total Diet Study 2011 Bisphenol A,,Health Canada
Canned Luncheon Meat,TDS2012-BB09-BPA,,Other,Unknown,Composite,Yes,2012-01-01,Surveillance,No,Grocery Store,Vancouver,British Columbia,Canada,HC FD BCS FRD Food Packaging Chemicals,2012-01-01,=,10,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,1.3,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2012.BPA,Total Diet Study 2012 BPA,,Health Canada
Canned Luncheon Meat,TDS2016-BB09-BPA,"BB09 Luncheon meats, canned (corned beef and canned ham)/Viandes froides en conserve (bœuf salé et jambon en conserve)",Other,Unknown,Composite,Yes,2016-01-01,Surveillance,No,Grocery Store,Québec,Quebec,Canada,HC FD BCS FRD Food Packaging Chemicals,2016-01-01,<LOD/MDL,0,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,,,3.365299368,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2016.BPA,Total Diet Study 2016 Bisphenol A,,Health Canada
Carrots,TDS2009-GG06-BPA,,Carrots,Unknown,Composite,Yes,2009-01-01,Surveillance,No,Grocery Store,Calgary,Alberta,Canada,HC FD BCS FRD Food Packaging Chemicals,2009-01-01,=,0.4,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,1.3,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2009.BPA,Total Diet Study 2009 Bisphenol A,,Health Canada
Carrots,TDS2010-GG06-BPA,,Carrots,Unknown,Composite,Yes,2010-01-01,Surveillance,No,Grocery Store,St. John's,Newfoundland and Labrador,Canada,HC FD BCS FRD Food Packaging Chemicals,2010-01-01,<LOD/MDL,0,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,1.3,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2010.BPA,Total Diet Study 2010 Bisphenol A,,Health Canada
Carrots,TDS2011-GG06-BPA,,Carrots,Unknown,Composite,Yes,2011-01-01,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,HC FD BCS FRD Food Packaging Chemicals,2011-01-01,<LOD/MDL,0,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,1.3,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2011.BPA,Total Diet Study 2011 Bisphenol A,,Health Canada
Carrots,TDS2012-GG06-BPA,,Carrots,Unknown,Composite,Yes,2012-01-01,Surveillance,No,Grocery Store,Vancouver,British Columbia,Canada,HC FD BCS FRD Food Packaging Chemicals,2012-01-01,=,1.2,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,1.3,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2012.BPA,Total Diet Study 2012 BPA,,Health Canada
Carrots,TDS2016-GG06-BPA,GG06 Carrots (Cooked and raw)/Carottes (cuites et crues),Carrots,Unknown,Composite,Yes,2016-01-01,Surveillance,No,Grocery Store,Québec,Quebec,Canada,HC FD BCS FRD Food Packaging Chemicals,2016-01-01,<LOD/MDL,0,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,,,0.677052404,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2016.BPA,Total Diet Study 2016 Bisphenol A,,Health Canada
Cauliflower,TDS2009-GG07-BPA,,Cauliflower,Unknown,Composite,Yes,2009-01-01,Surveillance,No,Grocery Store,Calgary,Alberta,Canada,HC FD BCS FRD Food Packaging Chemicals,2009-01-01,<LOD/MDL,0,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,1.3,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2009.BPA,Total Diet Study 2009 Bisphenol A,,Health Canada
Cauliflower,TDS2010-GG07-BPA,,Cauliflower,Unknown,Composite,Yes,2010-01-01,Surveillance,No,Grocery Store,St. John's,Newfoundland and Labrador,Canada,HC FD BCS FRD Food Packaging Chemicals,2010-01-01,<LOD/MDL,0,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,1.3,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2010.BPA,Total Diet Study 2010 Bisphenol A,,Health Canada
Cauliflower,TDS2011-GG07-BPA,,Cauliflower,Unknown,Composite,Yes,2011-01-01,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,HC FD BCS FRD Food Packaging Chemicals,2011-01-01,<LOD/MDL,0,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,1.3,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2011.BPA,Total Diet Study 2011 Bisphenol A,,Health Canada
Cauliflower,TDS2012-GG07-BPA,,Cauliflower,Unknown,Composite,Yes,2012-01-01,Surveillance,No,Grocery Store,Vancouver,British Columbia,Canada,HC FD BCS FRD Food Packaging Chemicals,2012-01-01,<LOD/MDL,0,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,1.3,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2012.BPA,Total Diet Study 2012 BPA,,Health Canada
Cauliflower,TDS2016-GG07-BPA,GG07 Cauliflowers (Cooked and raw)/Chou-fleur (cuit et cru),Cauliflower,Unknown,Composite,Yes,2016-01-01,Surveillance,No,Grocery Store,Québec,Quebec,Canada,HC FD BCS FRD Food Packaging Chemicals,2016-01-01,<LOD/MDL,0,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,,,11.10094433,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2016.BPA,Total Diet Study 2016 Bisphenol A,,Health Canada
Celery,TDS2009-GG08-BPA,,Celery,Unknown,Composite,Yes,2009-01-01,Surveillance,No,Grocery Store,Calgary,Alberta,Canada,HC FD BCS FRD Food Packaging Chemicals,2009-01-01,=,0.56,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,1.3,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2009.BPA,Total Diet Study 2009 Bisphenol A,,Health Canada
Celery,TDS2010-GG08-BPA,,Celery,Unknown,Composite,Yes,2010-01-01,Surveillance,No,Grocery Store,St. John's,Newfoundland and Labrador,Canada,HC FD BCS FRD Food Packaging Chemicals,2010-01-01,=,0.65,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,1.3,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2010.BPA,Total Diet Study 2010 Bisphenol A,,Health Canada
Celery,TDS2011-GG08-BPA,,Celery,Unknown,Composite,Yes,2011-01-01,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,HC FD BCS FRD Food Packaging Chemicals,2011-01-01,<LOD/MDL,0,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,1.3,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2011.BPA,Total Diet Study 2011 Bisphenol A,,Health Canada
Celery,TDS2012-GG08-BPA,,Celery,Unknown,Composite,Yes,2012-01-01,Surveillance,No,Grocery Store,Vancouver,British Columbia,Canada,HC FD BCS FRD Food Packaging Chemicals,2012-01-01,<LOD/MDL,0,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,1.3,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2012.BPA,Total Diet Study 2012 BPA,,Health Canada
Celery,TDS2016-GG08-BPA,GG08 Celery (Cooked and raw)/Céleri (cuit et cru),Celery,Unknown,Composite,Yes,2016-01-01,Surveillance,No,Grocery Store,Québec,Quebec,Canada,HC FD BCS FRD Food Packaging Chemicals,2016-01-01,<LOD/MDL,0,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,,,1.174223539,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2016.BPA,Total Diet Study 2016 Bisphenol A,,Health Canada
"Cereal, Rice, Bran",TDS2009-FF08-BPA,,Composite cereal,Unknown,Composite,Yes,2009-01-01,Surveillance,No,Grocery Store,Calgary,Alberta,Canada,HC FD BCS FRD Food Packaging Chemicals,2009-01-01,<LOD/MDL,0,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,1.3,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2009.BPA,Total Diet Study 2009 Bisphenol A,,Health Canada
"Cereal, Rice, Bran",TDS2010-FF08-BPA,,Composite cereal,Unknown,Composite,Yes,2010-01-01,Surveillance,No,Grocery Store,St. John's,Newfoundland and Labrador,Canada,HC FD BCS FRD Food Packaging Chemicals,2010-01-01,=,0.69,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,1.3,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2010.BPA,Total Diet Study 2010 Bisphenol A,,Health Canada
"Cereal, Rice, Bran",TDS2011-FF08-BPA,,Composite cereal,Unknown,Composite,Yes,2011-01-01,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,HC FD BCS FRD Food Packaging Chemicals,2011-01-01,=,0.47,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,1.3,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2011.BPA,Total Diet Study 2011 Bisphenol A,,Health Canada
"Cereal, Rice, Bran",TDS2012-FF08-BPA,,Composite cereal,Unknown,Composite,Yes,2012-01-01,Surveillance,No,Grocery Store,Vancouver,British Columbia,Canada,HC FD BCS FRD Food Packaging Chemicals,2012-01-01,=,1,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,1.3,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2012.BPA,Total Diet Study 2012 BPA,,Health Canada
"Cereal, Rice, Bran",TDS2016-FF08-BPA,"FF08 Cereals, rice & bran (Rice crispies, all-bran, and raisin bran) /Céréales de riz et son (Rice Krispies, All-Bran et Raisin Bran)",Composite cereal,Unknown,Composite,Yes,2016-01-01,Surveillance,No,Grocery Store,Québec,Quebec,Canada,HC FD BCS FRD Food Packaging Chemicals,2016-01-01,<LOD/MDL,0,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,,,1.311612843,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2016.BPA,Total Diet Study 2016 Bisphenol A,,Health Canada
"Cheese, Hard",TDS2009-AA09-BPA,,Ripened cheese,Unknown,Composite,Yes,2009-01-01,Surveillance,No,Grocery Store,Calgary,Alberta,Canada,HC FD BCS FRD Food Packaging Chemicals,2009-01-01,<LOD/MDL,0,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,0.66,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2009.BPA,Total Diet Study 2009 Bisphenol A,,Health Canada
"Cheese, Hard",TDS2010-AA09-BPA,,Ripened cheese,Unknown,Composite,Yes,2010-01-01,Surveillance,No,Grocery Store,St. John's,Newfoundland and Labrador,Canada,HC FD BCS FRD Food Packaging Chemicals,2010-01-01,<LOD/MDL,0,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,0.66,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2010.BPA,Total Diet Study 2010 Bisphenol A,,Health Canada
"Cheese, Hard",TDS2011-AA09-BPA,,Ripened cheese,Unknown,Composite,Yes,2011-01-01,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,HC FD BCS FRD Food Packaging Chemicals,2011-01-01,=,0.46,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,0.66,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2011.BPA,Total Diet Study 2011 Bisphenol A,,Health Canada
"Cheese, Hard",TDS2012-AA09-BPA,,Ripened cheese,Unknown,Composite,Yes,2012-01-01,Surveillance,No,Grocery Store,Vancouver,British Columbia,Canada,HC FD BCS FRD Food Packaging Chemicals,2012-01-01,=,0.67,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,0.66,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2012.BPA,Total Diet Study 2012 BPA,,Health Canada
"Cheese, Hard",TDS2016-AA09-BPA,AA09 Cheese (cheddar and mozzerella)/Fromage (cheddar et mozzarella),Ripened cheese,Unknown,Composite,Yes,2016-01-01,Surveillance,No,Grocery Store,Québec,Quebec,Canada,HC FD BCS FRD Food Packaging Chemicals,2016-01-01,<LOD/MDL,0,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,,,4.018739985,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2016.BPA,Total Diet Study 2016 Bisphenol A,,Health Canada
"Cheese, Processed",TDS2009-AA11-BPA,,Unripened cheese,Unknown,Composite,Yes,2009-01-01,Surveillance,No,Grocery Store,Calgary,Alberta,Canada,HC FD BCS FRD Food Packaging Chemicals,2009-01-01,<LOD/MDL,0,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,0.66,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2009.BPA,Total Diet Study 2009 Bisphenol A,,Health Canada
"Cheese, Processed",TDS2010-AA11-BPA,,Unripened cheese,Unknown,Composite,Yes,2010-01-01,Surveillance,No,Grocery Store,St. John's,Newfoundland and Labrador,Canada,HC FD BCS FRD Food Packaging Chemicals,2010-01-01,<LOD/MDL,0,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,0.66,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2010.BPA,Total Diet Study 2010 Bisphenol A,,Health Canada
"Cheese, Processed",TDS2011-AA11-BPA,,Unripened cheese,Unknown,Composite,Yes,2011-01-01,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,HC FD BCS FRD Food Packaging Chemicals,2011-01-01,=,0.86,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,0.66,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2011.BPA,Total Diet Study 2011 Bisphenol A,,Health Canada
"Cheese, Processed",TDS2012-AA11-BPA,,Unripened cheese,Unknown,Composite,Yes,2012-01-01,Surveillance,No,Grocery Store,Vancouver,British Columbia,Canada,HC FD BCS FRD Food Packaging Chemicals,2012-01-01,<LOD/MDL,0,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,0.66,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2012.BPA,Total Diet Study 2012 BPA,,Health Canada
"Cheese, Processed",TDS2016-AA11-BPA,"AA11 Cheese, processed/Fromage fondu",Unripened cheese,Unknown,Composite,Yes,2016-01-01,Surveillance,No,Grocery Store,Québec,Quebec,Canada,HC FD BCS FRD Food Packaging Chemicals,2016-01-01,<LOD/MDL,0,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,,,2.442424813,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2016.BPA,Total Diet Study 2016 Bisphenol A,,Health Canada
Chocolate Candy Bars,TDS2009-JJ01-BPA,,Solid,Unknown,Composite,Yes,2009-01-01,Surveillance,No,Grocery Store,Calgary,Alberta,Canada,HC FD BCS FRD Food Packaging Chemicals,2009-01-01,=,0.56,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,1.3,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2009.BPA,Total Diet Study 2009 Bisphenol A,,Health Canada
Chocolate Candy Bars,TDS2010-JJ01-BPA,,Solid,Unknown,Composite,Yes,2010-01-01,Surveillance,No,Grocery Store,St. John's,Newfoundland and Labrador,Canada,HC FD BCS FRD Food Packaging Chemicals,2010-01-01,=,0.72,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,1.3,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2010.BPA,Total Diet Study 2010 Bisphenol A,,Health Canada
Chocolate Candy Bars,TDS2011-JJ01-BPA,,Solid,Unknown,Composite,Yes,2011-01-01,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,HC FD BCS FRD Food Packaging Chemicals,2011-01-01,=,0.73,ng/g,Bisphenol A (BPA),Food Packaging Chemicals,0.38,1.3,,,As consumed,Lab officially accredited for the relevant method during sampling and analysis,,Analysis of Bisphenol A,BPA_SPE.M,Gas chromatograph (GC)-Mass spectrometer (MS),,BCS.TDS2011.BPA,Total Diet Study 2011 Bisphenol A,,Health Canada
