RESPID,L,Q26,Q27,Q35A,Q33,Q34_1,Q34_2,Q34_3,Q34_4,Q34_5,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q3,Q4,Q4_98_OTHER,Q4_98_OTHER_CODED,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7_1,Q7_2,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q10_11,Q10_12,Q10_13,Q10_14,Q10_15,Q10_98,Q10_98_OTHER,Q10_98_OTHER_CODED,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q11_14,Q11_15,Q12_1,Q12_2,Q12_3,Q13_1,Q13_CODED,Q13DK_97,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q21_98_OTHER,Q21_98_OTHER_CODED,Q42,Q22_1,Q22_CODED,Q22DK_97,Q23_1,Q23_CODED,Q23DK_97,Q24,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q28,Q29_1,Q29_2,Q29_98,Q30,Q31,Q32,Q35_35,Q35_36,Q35_37,Q35_38,Q35_39,OQ40,OQ41
3340,English,Male,30-34,Ontario,1,0,1,0,0,0,I am the person who is most responsible for grocery shopping,To a great extent 7,5,6,To some extent 4,5,6,3,Always,,,,Very important,0,1,0,1,0,Confident,Confident,Always,Always,Often,Sometimes,Often,Often,Sometimes,Neither easy nor difficult to understand,Somewhat easy to understand,Somewhat easy to understand,Neither easy nor difficult to understand,Somewhat difficult to understand,Neither easy nor difficult to understand,Somewhat difficult to understand,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,Weight (grams or milligrams),,,,,,Weight (grams or milligrams),,,,,,,I don’t know,I don’t know,True,1/2 cup,1/2 Cup/28 grams,0,The amount of food contains 28% of the daily recommended amo,28% Daily Value is a lot of fibre,8%,Easy,Products A and B have the same fat content,Product A has a moderate amount of fibre/Product B has a lit,Product A,Actual amount of sodium in milligrams (mg),,,,340,340 Calories,0,2,Two servings,0,Very useful,Fairly useful,Fairly useful,Fairly useful,Very useful,Very useful,Fairly useful,"Graduated vocational, technical, college or CEGEP",1,0,0,"Working full-time, that is, 35 or more hours per week","$100,000 to just under $150,000",No,,,,,,,
3341,English,Female,40-44,Ontario,2,0,0,1,1,0,I am the person who is most responsible for grocery shopping,6,Not at all 1,6,To some extent 4,Not at all 1,6,To some extent 4,Often,,,,Somewhat important,0,0,1,0,1,Confident,Neither Confident Nor Unsure,Often,Rarely,Often,Often,Rarely,Often,Often,Somewhat easy to understand,Neither easy nor difficult to understand,Somewhat easy to understand,Somewhat easy to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,,,,,Weight (grams or milligrams),,,,Weight (grams or milligrams),Weight (grams or milligrams),Weight (grams or milligrams),,,,,,,I don’t know,True,True,1/2 cup,1/2 Cup/28 grams,0,The amount of food contains 28% of the daily recommended amo,28% Daily Value is a little of fibre,8%,Very easy,Products A and B have the same fat content,Product A has a moderate amount of fibre/Product B has a lit,Product B,Actual amount of sodium in milligrams (mg),,,,340,340 Calories,0,2,Two servings,0,Fairly useful,Fairly useful,Fairly useful,Not very useful,Not very useful,Fairly useful,Not very useful,"Graduated vocational, technical, college or CEGEP",1,0,0,"Working full-time, that is, 35 or more hours per week","$60,000 to just under $ 80,000",No,,,,,,,
3367,English,Male,50-54,Ontario,1,0,0,0,0,1,I am the person who is most responsible for grocery shopping,To a great extent 7,6,6,5,6,To a great extent 7,6,Often,,,,Very important,1,1,1,1,1,Confident,Confident,Often,Sometimes,Sometimes,Often,Sometimes,Often,Often,Very easy to understand,Very easy to understand,Very easy to understand,Very easy to understand,Somewhat easy to understand,Somewhat easy to understand,Somewhat easy to understand,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,,,,Both,,,,% Daily Value,,Both,,,,,,,False,True,True,1/2 cup,1/2 Cup/28 grams,0,The amount of food contains 28% of the daily recommended amo,28% Daily Value is a lot of fibre,8%,Very easy,Product B has a higher fat content,There is a little of fibre in both products,Product A,Both the actual amount of sodium in mg and the % Daily Value,,,,340,340 Calories,0,2,Two servings,0,Very useful,Fairly useful,Fairly useful,Very useful,Fairly useful,Fairly useful,Not very useful,Some university,1,0,0,"Working full-time, that is, 35 or more hours per week","$60,000 to just under $ 80,000",No,,,,,,,
3454,English,Female,60-64,Ontario,2,0,0,0,1,1,I am the person who is most responsible for grocery shopping,5,To some extent 4,6,To some extent 4,To some extent 4,6,5,Often,,,,Somewhat important,0,1,0,0,1,Confident,Confident,Sometimes,Sometimes,Often,Often,Sometimes,Often,Sometimes,Somewhat difficult to understand,Somewhat easy to understand,Somewhat easy to understand,Neither easy nor difficult to understand,Somewhat easy to understand,Somewhat easy to understand,Neither easy nor difficult to understand,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,,,,,,,,,,,% Daily Value,,,,,,,I don’t know,True,I don’t know,1/2 cup,1/2 Cup/28 grams,0,The amount of food contains 28% of the daily recommended amo,28% Daily Value is a moderate amount of fibre,8%,Easy,Product A has a higher fat content,Product A has a lot of fibre/Product B has a little of fibre,Product A,Both the actual amount of sodium in mg and the % Daily Value,,,,340,340 Calories,0,2,Two servings,0,Fairly useful,Fairly useful,Fairly useful,Fairly useful,Very useful,Fairly useful,Very useful,"Graduated vocational, technical, college or CEGEP",1,0,0,Retired,"$150,000 and above",No,,,,,,,
3543,English,Female,55-59,Ontario,1,0,0,0,0,1,I am the person who is most responsible for both,To a great extent 7,5,6,5,To a great extent 7,5,6,Sometimes,,,,Somewhat important,0,1,0,0,0,Neither Confident Nor Unsure,Neither Confident Nor Unsure,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Somewhat easy to understand,Neither easy nor difficult to understand,Somewhat easy to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Somewhat difficult to understand,Somewhat easy to understand,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,% Daily Value,,,,,,,,,False,True,True,1/2 cup,1/2 Cup/28 grams,0,The amount of food contains 28% of the daily recommended amo,28% Daily Value is a moderate amount of fibre,8%,Easy,I don’t know,There is a little of fibre in both products,Product A,% Daily Value of sodium,,,,340,340 Calories,0,2,Two servings,0,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,"Graduated vocational, technical, college or CEGEP",1,0,0,"Working full-time, that is, 35 or more hours per week","$40,000 to just under $ 60,000",Yes,,,,,,,
3674,English,Female,40-44,Ontario,2,0,0,0,0,1,I am the person who is most responsible for both,6,To some extent 4,6,3,5,6,To a great extent 7,Always,,,,Very important,1,1,1,0,0,Very Confident,Neither Confident Nor Unsure,Always,Always,Often,Always,Sometimes,Always,Rarely,Very easy to understand,Very easy to understand,Very easy to understand,Very easy to understand,Neither easy nor difficult to understand,Very easy to understand,Somewhat easy to understand,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,,,,Weight (grams or milligrams),,,,Weight (grams or milligrams),,Weight (grams or milligrams),,,,,,,I don’t know,True,I don’t know,1/2 cup,1/2 Cup/28 grams,0,The amount of food contains 28% of the daily recommended amo,28% Daily Value is a lot of fibre,8%,Very easy,Products A and B have the same fat content,Product A has a lot of fibre/Product B has a little of fibre,Product A,Actual amount of sodium in milligrams (mg),,,,340,340 Calories,0,2,Two servings,0,Very useful,Fairly useful,Fairly useful,Very useful,Very useful,Very useful,Very useful,Graduated high school,1,0,0,"Working full-time, that is, 35 or more hours per week","$100,000 to just under $150,000",No,,,,,,,
3690,English,Female,45-49,Nova Scotia,1,0,0,0,0,1,I am the person who is most responsible for both,To a great extent 7,To some extent 4,To some extent 4,To some extent 4,To some extent 4,To a great extent 7,To some extent 4,Sometimes,,,,Somewhat important,0,1,0,0,0,Confident,Neither Confident Nor Unsure,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Often,Rarely,Somewhat easy to understand,Somewhat easy to understand,Somewhat easy to understand,Somewhat easy to understand,Somewhat easy to understand,Somewhat easy to understand,Somewhat easy to understand,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,I don’t know,I don’t know,I don’t know,1/2 cup,1/2 Cup/28 grams,0,The amount of food contains 28% of the daily recommended amo,28% Daily Value is a moderate amount of fibre,8%,Easy,Products A and B have the same fat content,Product A has a lot of fibre/Product B has a little of fibre,Product A,% Daily Value of sodium,,,,340,340 Calories,0,2,Two servings,0,Fairly useful,Fairly useful,Fairly useful,Fairly useful,Fairly useful,Fairly useful,Fairly useful,Some high school,1,0,0,"Not in the workforce (e.g. full-time homemaker, not employed","$20,000 to just under $ 40,000",No,,,,,,,
3699,English,Female,35-39,Ontario,3,1,1,0,1,0,I am the person who is most responsible for grocery shopping,To some extent 4,5,6,5,5,6,6,Always,,,,Very important,1,1,1,0,0,Confident,Unsure,Often,Rarely,Often,Sometimes,Often,Always,Often,Very easy to understand,Neither easy nor difficult to understand,Very easy to understand,Neither easy nor difficult to understand,Somewhat difficult to understand,Somewhat difficult to understand,Very difficult to understand,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,,,,,Weight (grams or milligrams),,,,Weight (grams or milligrams),Weight (grams or milligrams),Weight (grams or milligrams),,,,,,,False,True,I don’t know,1/2 cup,1/2 Cup/28 grams,0,The amount of food contains 28% of the daily recommended amo,28% Daily Value is a moderate amount of fibre,8%,Easy,Products A and B have the same fat content,Product A has a moderate amount of fibre/Product B has a lit,Product A,Actual amount of sodium in milligrams (mg),,,,340,340 Calories,0,2,Two servings,0,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Graduated university,1,0,0,"Working full-time, that is, 35 or more hours per week","$100,000 to just under $150,000",Yes,,,,,,,
3767,English,Female,45-49,British Columbia,1,0,0,0,0,1,I am the person who is most responsible for both,6,6,6,To some extent 4,To some extent 4,6,2,Often,,,,Very important,0,1,0,1,1,Confident,Confident,Often,Rarely,Always,Often,Rarely,Often,Often,Very easy to understand,Very difficult to understand,Very difficult to understand,Very easy to understand,Somewhat difficult to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,,,,,% Daily Value,,,,% Daily Value,,,,,,,,,False,True,True,1/2 cup,1/2 Cup/28 grams,0,The amount of food contains 28% of the daily recommended amo,28% Daily Value is a moderate amount of fibre,8%,Very easy,Products A and B have the same fat content,Product A has a moderate amount of fibre/Product B has a lit,Product A,Both the actual amount of sodium in mg and the % Daily Value,,,,340,340 Calories,0,2,Two servings,0,Very useful,Not very useful,Not very useful,Not very useful,Very useful,Very useful,Very useful,Graduated university,1,0,0,"Working full-time, that is, 35 or more hours per week","$80,000 to just under $100,000",No,,,,,,,
3772,English,Male,30-34,Ontario,1,0,0,1,0,0,I am the person who is most responsible for both,5,6,6,3,5,6,To some extent 4,Often,,,,Very important,1,1,1,1,1,Confident,Confident,Often,Often,Often,Often,Sometimes,Often,Sometimes,Somewhat easy to understand,Somewhat easy to understand,Somewhat easy to understand,Somewhat easy to understand,Neither easy nor difficult to understand,Somewhat easy to understand,Somewhat easy to understand,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,,,,,Both,,,,Both,,,,,,,,,True,True,True,1/2 cup,1/2 Cup/28 grams,0,The amount of food contains 28% of the daily recommended amo,28% Daily Value is a moderate amount of fibre,8%,Neither difficult nor easy,Products A and B have the same fat content,Product A has a lot of fibre/Product B has a little of fibre,Product B,% Daily Value of sodium,,,,340,340 Calories,0,2,Two servings,0,Fairly useful,Not very useful,Not very useful,Fairly useful,Not very useful,Fairly useful,Fairly useful,"Some vocational, technical, college or CEGEP",1,0,0,"Working full-time, that is, 35 or more hours per week","$80,000 to just under $100,000",Yes,,,,,,,
3785,English,Female,45-49,Nova Scotia,1,0,0,0,0,1,I am the person who is most responsible for both,To some extent 4,5,To some extent 4,To some extent 4,5,6,3,Sometimes,,,,Neither important nor unimportant,0,1,0,0,1,Confident,Unsure,Never,Rarely,Sometimes,Sometimes,Rarely,Often,Sometimes,Somewhat difficult to understand,Somewhat difficult to understand,Somewhat easy to understand,Somewhat difficult to understand,Somewhat difficult to understand,Somewhat difficult to understand,Somewhat difficult to understand,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,,,,Weight (grams or milligrams),,,,Weight (grams or milligrams),,Weight (grams or milligrams),,,,,,,False,True,I don’t know,1/2 cup,1/2 Cup/28 grams,0,The amount of food contains 28% of the daily recommended amo,28% Daily Value is a moderate amount of fibre,8%,Very easy,Product B has a higher fat content,There is a little of fibre in both products,Product A,Actual amount of sodium in milligrams (mg),,,,340,340 Calories,0,2,Two servings,0,Very useful,Fairly useful,Fairly useful,Fairly useful,Very useful,Very useful,Not very useful,"Graduated vocational, technical, college or CEGEP",1,0,0,"Working full-time, that is, 35 or more hours per week","$60,000 to just under $ 80,000",Yes,,,,,,,
3796,English,Male,60-64,British Columbia,4 or more,1,1,0,0,1,I am the person who is most responsible for grocery shopping,6,6,5,5,6,6,6,Often,,,,Somewhat important,1,0,0,0,1,Confident,Confident,Often,Rarely,Often,Rarely,Rarely,Rarely,Often,Somewhat easy to understand,Somewhat easy to understand,Somewhat easy to understand,Somewhat easy to understand,Somewhat easy to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,Weight (grams or milligrams),,,,,,,,,False,True,True,1/2 cup,1/2 Cup/28 grams,0,The amount of food contains 28% of the daily recommended amo,I don’t know,8%,Easy,Product B has a higher fat content,Product A has a lot of fibre/Product B has a little of fibre,Product A,Actual amount of sodium in milligrams (mg),,,,340,340 Calories,0,2,Two servings,0,Not very useful,Not very useful,Not very useful,Not very useful,Not very useful,Very useful,Very useful,"Graduated vocational, technical, college or CEGEP",1,0,0,Self-employed,"$20,000 to just under $ 40,000",Yes,,,,,,,
3832,English,Female,30-34,Manitoba,2,0,1,0,1,0,I am the person who is most responsible for grocery shopping,5,To a great extent 7,5,To some extent 4,5,To a great extent 7,To a great extent 7,Often,,,,Somewhat important,0,1,1,1,1,Confident,Confident,Often,Sometimes,Often,Often,Sometimes,Often,Sometimes,Very easy to understand,Somewhat easy to understand,Very easy to understand,Very easy to understand,Somewhat easy to understand,Somewhat easy to understand,Somewhat easy to understand,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,,,,,Weight (grams or milligrams),,,,,Weight (grams or milligrams),,,,,,,,False,True,True,1/2 cup,1/2 Cup/28 grams,0,The amount of food contains 28% of the daily recommended amo,28% Daily Value is a moderate amount of fibre,8%,Very easy,Product B has a higher fat content,There is a little of fibre in both products,Product A,Actual amount of sodium in milligrams (mg),,,,340,340 Calories,0,2,Two servings,0,Fairly useful,Fairly useful,Fairly useful,Fairly useful,Very useful,Very useful,Fairly useful,Graduated high school,1,0,0,Self-employed,"$40,000 to just under $ 60,000",Yes,,,,,,,
3891,English,Female,45-49,Ontario,2,0,0,0,0,1,I am the person who is most responsible for grocery shopping,6,6,6,6,6,To a great extent 7,6,Always,,,,Very important,0,0,1,0,1,Very Confident,Very Confident,Always,Always,Always,Always,Always,Always,Always,Very easy to understand,Very easy to understand,Very easy to understand,Very easy to understand,Very easy to understand,Very easy to understand,Very easy to understand,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,% Daily Value,,,,,,,,True,True,False,1/2 cup,1/2 Cup/28 grams,0,The amount of food contains 28% of the daily recommended amo,28% Daily Value is a moderate amount of fibre,8%,Very easy,I don’t know,I don’t know,I don’t know,Don’t know/Made an educated guess,,,,340,340 Calories,0,2,Two servings,0,Very useful,Fairly useful,Fairly useful,Fairly useful,Very useful,Very useful,Very useful,"Graduated vocational, technical, college or CEGEP",1,0,0,"Working full-time, that is, 35 or more hours per week","$80,000 to just under $100,000",Yes,,,,,,,
3966,English,Male,30-34,British Columbia,2,0,1,1,0,0,I am the person who is most responsible for both,6,6,To some extent 4,6,6,6,6,Sometimes,,,,Somewhat important,0,1,0,0,0,Confident,Confident,Rarely,Rarely,Sometimes,Often,Rarely,Often,Rarely,Neither easy nor difficult to understand,Somewhat difficult to understand,Somewhat difficult to understand,Somewhat difficult to understand,Somewhat difficult to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,% Daily Value,,,,,,,False,True,I don’t know,1/2 cup,1/2 Cup/28 grams,0,The amount of food contains 28% of the maximum amount of fib,28% Daily Value is a lot of fibre,8%,Easy,Product B has a higher fat content,Product A has a lot of fibre/Product B has a little of fibre,Product A,% Daily Value of sodium,,,,340,340 Calories,0,2,Two servings,0,Very useful,Fairly useful,Fairly useful,Fairly useful,Fairly useful,Fairly useful,Fairly useful,"Graduated vocational, technical, college or CEGEP",1,0,0,"Working full-time, that is, 35 or more hours per week","$80,000 to just under $100,000",No,,,,,,,
3976,English,Female,45-49,British Columbia,1,0,0,1,0,0,I am the person who is most responsible for grocery shopping,6,5,To some extent 4,To some extent 4,6,6,To some extent 4,Often,,,,Very important,0,1,1,0,0,Confident,Confident,Sometimes,Rarely,Often,Sometimes,Sometimes,Sometimes,Sometimes,Very easy to understand,Neither easy nor difficult to understand,Somewhat easy to understand,Very easy to understand,Very easy to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,I don’t know,True,I don’t know,1/2 cup,1/2 Cup/28 grams,0,The amount of food contains 28% of the daily recommended amo,28% Daily Value is a moderate amount of fibre,8%,Neither difficult nor easy,Products A and B have the same fat content,Product A has a moderate amount of fibre/Product B has a lit,Product A,Both the actual amount of sodium in mg and the % Daily Value,,,,340,340 Calories,0,2,Two servings,0,Fairly useful,Fairly useful,Fairly useful,Fairly useful,Very useful,Very useful,Fairly useful,"Some vocational, technical, college or CEGEP",1,0,0,"Working full-time, that is, 35 or more hours per week","$20,000 to just under $ 40,000",Yes,,,,,,,
4037,English,Female,40-44,Alberta,2,0,0,0,1,1,I am the person who is most responsible for grocery shopping,5,3,5,3,5,6,5,Often,,,,Somewhat important,0,1,1,0,0,Confident,Neither Confident Nor Unsure,Sometimes,Rarely,Often,Often,Rarely,Sometimes,Sometimes,Very easy to understand,Very easy to understand,Very easy to understand,Very easy to understand,Very easy to understand,Very easy to understand,Very easy to understand,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,Weight (grams or milligrams),,,,,,,,,,,,,True,True,True,1/2 cup,1/2 Cup/28 grams,0,The amount of food contains 28% of the daily recommended amo,28% Daily Value is a moderate amount of fibre,8%,Very easy,Products A and B have the same fat content,Product A has a moderate amount of fibre/Product B has a lit,Product A,Both the actual amount of sodium in mg and the % Daily Value,,,,340,340 Calories,0,2,Two servings,0,Fairly useful,Not very useful,Not very useful,Not very useful,Fairly useful,Very useful,Not at all useful,Graduated university,1,0,0,"Working full-time, that is, 35 or more hours per week","$100,000 to just under $150,000",No,,,,,,,
4087,English,Female,40-44,British Columbia,1,0,0,0,1,0,I am the person who is most responsible for grocery shopping,To a great extent 7,To a great extent 7,5,6,5,To a great extent 7,5,Sometimes,,,,Somewhat important,0,1,0,0,0,Neither Confident Nor Unsure,Neither Confident Nor Unsure,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Somewhat difficult to understand,Somewhat difficult to understand,Somewhat difficult to understand,Somewhat difficult to understand,Somewhat difficult to understand,Somewhat difficult to understand,Somewhat difficult to understand,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,% Daily Value,,,,,,,,,,,,,False,True,True,1/2 cup,1/2 Cup/28 grams,0,The amount of food contains 28% of the daily recommended amo,28% Daily Value is a little of fibre,4%,Easy,Product B has a higher fat content,Product A has a lot of fibre/Product B has a little of fibre,Product A,Actual amount of sodium in milligrams (mg),,,,340,340 Calories,0,2,Two servings,0,Fairly useful,Fairly useful,Fairly useful,Fairly useful,Fairly useful,Fairly useful,Fairly useful,"Graduated vocational, technical, college or CEGEP",1,0,0,"Working full-time, that is, 35 or more hours per week","$60,000 to just under $ 80,000",Yes,,,,,,,
4101,English,Female,55-59,Saskatchewan,1,0,0,0,0,1,I am the person who is most responsible for both,To a great extent 7,5,6,3,To some extent 4,To a great extent 7,6,Often,,,,Somewhat important,0,1,0,0,1,Confident,Confident,Sometimes,Often,Often,Often,Sometimes,Often,Often,Somewhat easy to understand,Somewhat easy to understand,Somewhat easy to understand,Somewhat easy to understand,Somewhat easy to understand,Somewhat easy to understand,Somewhat easy to understand,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,Both,,,,Both,,,,,,,,,False,True,True,1/2 cup,1/2 Cup/28 grams,0,The amount of food contains 28% of the daily recommended amo,28% Daily Value is a lot of fibre,8%,Easy,Product B has a higher fat content,Product A has a moderate amount of fibre/Product B has a lit,Product A,Both the actual amount of sodium in mg and the % Daily Value,,,,340,340 Calories,0,2,Two servings,0,Fairly useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,"Some vocational, technical, college or CEGEP",1,0,0,"Working full-time, that is, 35 or more hours per week","$20,000 to just under $ 40,000",No,,,,,,,
4118,English,Male,40-44,Alberta,1,0,0,1,0,0,I am the person who is most responsible for grocery shopping,To some extent 4,5,6,5,6,6,3,Often,,,,Very important,0,1,1,0,1,Confident,Neither Confident Nor Unsure,Sometimes,Rarely,Often,Often,Rarely,Often,Sometimes,Somewhat easy to understand,Somewhat easy to understand,Somewhat easy to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Somewhat difficult to understand,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,,,,,Weight (grams or milligrams),,,,% Daily Value,Both,% Daily Value,,,,,,,False,True,True,1/2 cup,1/2 Cup/28 grams,0,The amount of food contains 28% of the daily recommended amo,28% Daily Value is a little of fibre,8%,Easy,Product B has a higher fat content,There is a little of fibre in both products,Product A,Actual amount of sodium in milligrams (mg),,,,340,340 Calories,0,2,Two servings,0,Very useful,Not very useful,Not very useful,Not very useful,Fairly useful,Fairly useful,Fairly useful,Graduated high school,1,0,0,Self-employed,"$40,000 to just under $ 60,000",No,,,,,,,
4158,English,Male,25-29,Manitoba,1,1,0,0,0,0,I am the person who is most responsible for both,6,6,6,6,6,6,6,Sometimes,,,,Very important,1,1,0,0,0,Neither Confident Nor Unsure,Neither Confident Nor Unsure,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Somewhat easy to understand,Somewhat easy to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Somewhat difficult to understand,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,,,,,Both,,,,Both,,,,,,,,,False,True,True,1/2 cup,1/2 Cup/28 grams,0,The amount of food contains 28% of the daily recommended amo,28% Daily Value is a moderate amount of fibre,8%,Very easy,Product B has a higher fat content,Product A has a little of fibre/Product B has a moderate amo,Product A,Both the actual amount of sodium in mg and the % Daily Value,,,,340,340 Calories,0,2,Two servings,0,Fairly useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Graduated university,1,0,0,"Working full-time, that is, 35 or more hours per week","$80,000 to just under $100,000",No,,,,,,,
4178,English,Female,30-34,British Columbia,2,0,0,1,1,0,I am the person who is most responsible for grocery shopping,To a great extent 7,5,6,To some extent 4,To some extent 4,5,To some extent 4,Often,,,,Very important,0,1,1,1,0,Confident,Confident,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Often,Rarely,Somewhat easy to understand,Somewhat easy to understand,Somewhat easy to understand,Somewhat easy to understand,Somewhat easy to understand,Somewhat easy to understand,Somewhat easy to understand,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,% Daily Value,,,,,,,,,I don’t know,I don’t know,I don’t know,1/2 cup,1/2 Cup/28 grams,0,The amount of food contains 28% of the daily recommended amo,28% Daily Value is a moderate amount of fibre,8%,Easy,Product A has a higher fat content,There is a little of fibre in both products,Product A,Actual amount of sodium in milligrams (mg),,,,340,340 Calories,0,2,Two servings,0,Fairly useful,Fairly useful,Fairly useful,Fairly useful,Fairly useful,Fairly useful,Not very useful,Graduated high school,1,0,0,Self-employed,"$80,000 to just under $100,000",No,,,,,,,
4195,English,Male,25-29,Saskatchewan,1,0,1,0,0,0,I am the person who is most responsible for both,5,To some extent 4,5,To some extent 4,5,5,To some extent 4,Always,,,,Very important,0,0,1,1,0,Confident,Confident,Often,Often,Often,Always,Often,Sometimes,Often,Neither easy nor difficult to understand,Somewhat easy to understand,Somewhat difficult to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Somewhat easy to understand,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,,,,% Daily Value,,,,% Daily Value,,Both,,,,,,,False,True,False,1/2 cup,1/2 Cup/28 grams,0,The amount of food contains 28% of the daily recommended amo,28% Daily Value is a lot of fibre,8%,Easy,Product B has a higher fat content,Product A has a lot of fibre/Product B has a little of fibre,Product A,Both the actual amount of sodium in mg and the % Daily Value,,,,340,340 Calories,0,2,Two servings,0,Fairly useful,Not very useful,Not very useful,Not very useful,Very useful,Fairly useful,Fairly useful,Some university,1,0,0,A student attending school full-time,"$20,000 to just under $ 40,000",Yes,,,,,,,
4382,English,Male,50-54,British Columbia,1,0,0,0,0,1,I am the person who is most responsible for both,To some extent 4,To a great extent 7,To a great extent 7,To a great extent 7,To a great extent 7,To a great extent 7,To a great extent 7,Always,,,,Very important,1,1,1,0,0,Very Confident,Unsure,Always,Sometimes,Sometimes,Often,Often,Always,Rarely,Very easy to understand,Very easy to understand,Very easy to understand,Very easy to understand,Very difficult to understand,Somewhat easy to understand,Somewhat difficult to understand,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,Weight (grams or milligrams),,,,,,,False,True,False,1/2 cup,1/2 Cup/28 grams,0,The amount of food contains 28% of the daily recommended amo,28% Daily Value is a moderate amount of fibre,8%,Very easy,Product B has a higher fat content,Product A has a moderate amount of fibre/Product B has a lit,Product A,Actual amount of sodium in milligrams (mg),,,,340,340 Calories,0,2,Two servings,0,Fairly useful,Fairly useful,Fairly useful,Fairly useful,Very useful,Fairly useful,Fairly useful,Post graduate university,1,0,0,"Working full-time, that is, 35 or more hours per week","$150,000 and above",No,,,,,,,
