RESPONSEID,RESPID,WEIGHT,STATUS,INTERVIEW_START,INTERVIEW_END,HCMA,HISTORONTO,HISMONTREAL,HISVANCOUVER,L,QINTRO_1,SQA,SQB,SQC,HREGION,SQD,SQE,QN1A,ON1B,QN1B_R1,QN1B_R2,QN1B_R3,QN1B_R4,QN1B_R5,QN1C_1,QN1C_2,QN1C_3,QN1C_4,QN1C_5,QN1C_6,QN1C_7,QN1C_8,QN1C_9,QN1C_10,QN1C_11,QN1C_12,QN1C_13,QN1C_98,QN1C_98_R1,QN1C_98_OTHER,QN2,QN3,QN4,QN5,QN6A,QN7,HSEENAD,QN8,QN8_R1,QN9A,QN9B,QN9B_R1,QN10_1,QN10_2,QN10_3,QN11,QN11_R1,ON11_98_OTHER,QN12,QN12_R1,QN12_98_OTHER,QN13_1,QN13_2,QN13_3,QN13_4,QN13_5,QN13_6,QN13_7,QN13_8,QN13_9,QN13_10,QN13_11,QN14,QN15A,QN15B,QN16_1,QN16_2,QN16_3,QN16_4,QN17,QN17_R1,QN17_R2,QN17_R3,QN17_R4,QN17_R5,QN18_R1,QN18_R2,QN18_R3,QN18_R4,QN18_R5,QN18_R6,QN18_R7,QN18,QN19_1,QN19_2,QN19_3,QN19_4,QN20A,QN20B_R1,QN20B_R2,QN20B_R3,QN20B_R4,QN20B_R5,QN20B,QN21_1,QN21_2,QN21_3,QN21_4,QN21_5,QN21_6,QN21_7,QN21_8,QN21_9,QN21_10,QN22_1,QN22_2,QN22_3,QN22_4,QN22_5,QN22_6,QN22_7,QN22_8,QN22_9,QN22_10,QN23_1,QN23_2,QN24_1,QN24_2,QN24_3,QN24_4,QN24_5,QN24_6,QN24_7,QN24_8,QN25_1,QN25_2,QN26_1,QN26_2,QN26_3,QN26_4,QN26_5,QN26_6,QN26_7,QN26_8,QN27A,QN27B_R1,QN27B_R2,QN27B_R3,QN27B_R4,QN27B_R5,QN27B,QN27C,QN28_1,QN28_2,QN28_3,QN29,QN30,QN31,QN32,QN33,QN34,QN35,DUSseg1,CONTseg2,ACTseg3,DrugUseSegs,PrimaryFirst
"1,953","2,123",1.038529000000,Complete,23-Mar-2011 06:37:49,23-Mar-2011 06:49:54,#NULL!,No,No,No,English,Win32,13,Male,Alberta,Alberta (include NWT),You live with two parents,No,No,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,No,No,No,No,No,No,No,,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,No,#NULL!,#NULL!,4,4,6,5,LSD,L.S.D./acid,#NULL!,#NULL!,#NULL!,#NULL!,LSD/acid,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,LSD,Somewhat likely,Not very likely,Not very likely,Not very likely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhatserious,Somewhatserious,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Somewhatserious,Somewhatserious,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,Somewhatlikely,Not verylikely,Not verylikely,Somewhat agree,"Yes, in school full-time",A (80% to 100%),Some high school (grades 8 - 11),$41 to $60,No,Yes,37,53,61,Active,Primary Case
"1,958","2,128",1.038529000000,Complete,23-Mar-2011 06:55:18,23-Mar-2011 07:07:09,#NULL!,No,No,No,English,Win32,13,Male,Alberta,Alberta (include NWT),You live with two parents,No,No,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,No,No,No,No,No,No,No,,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,No,#NULL!,#NULL!,5,5,6,6,Cocaine,Crack/cocaine,#NULL!,#NULL!,#NULL!,#NULL!,Cocaine/crack,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Cocaine,Somewhat likely,Not very likely,Not very likely,Not very likely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhatserious,Somewhatserious,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Somewhatserious,Somewhatserious,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,Somewhatlikely,Not verylikely,Not verylikely,Somewhat agree,"Yes, in school full-time",A (80% to 100%),Some high school (grades 8 - 11),$41 to $60,No,Yes,15,31,40,Active,Primary Case
"1,959","2,129",0.860243000000,Complete,23-Mar-2011 06:57:23,23-Mar-2011 07:06:59,#NULL!,No,No,No,English,Win32,15,Male,New Brunswick,Atlantic,You live with two parents,No,No,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,Yes,No,No,No,No,No,Yes,"Using drugs can make your life change, not for the better",Drugs can ruin your life/family/future,No,,#NULL!,No,No,No,No,#NULL!,,"Some level of government, but not clear which one",#NULL!,,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Yes,2,No,2,2,2,3,"Grass, Hash",Marijuana/cannabis,Hashish,#NULL!,#NULL!,#NULL!,Marijuana/cannabis,Hashish,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Grass Hash,Somewhat likely,Not very likely,Not very likely,Not at all likely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Somewhat dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Somewhat dangerous to your health,Somewhatserious,Veryserious,Somewhatlikely,Verylikely,Not verylikely,Somewhatlikely,Somewhatlikely,Somewhatlikely,Somewhatlikely,Somewhatlikely,Somewhatserious,Veryserious,Somewhatlikely,Verylikely,Somewhatlikely,Verylikely,Somewhatlikely,Somewhatlikely,Somewhatlikely,Somewhatlikely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,Not verylikely,Not verylikely,Not verylikely,Strongly agree,"Yes, in school full-time",B (70% to 79%),Some university (no degree),$11 to $20,No,No,108,114,107,Contemplative,Primary Case
"1,961","2,131",1.038529000000,Complete,23-Mar-2011 07:11:02,23-Mar-2011 07:22:15,#NULL!,No,No,No,English,Win32,13,Male,Alberta,Alberta (include NWT),You live with two parents,No,No,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,No,No,No,No,No,No,No,,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,No,#NULL!,#NULL!,5,5,6,5,Heroin,Heroin,#NULL!,#NULL!,#NULL!,#NULL!,Heroin,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Heroin,Somewhat likely,Not very likely,Not very likely,Not very likely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhatserious,Somewhatserious,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Somewhatserious,Somewhatserious,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,Somewhatlikely,Not verylikely,Not verylikely,Somewhat agree,"Yes, in school full-time",B (70% to 79%),Some high school (grades 8 - 11),$21 to $40,No,Yes,37,53,61,Active,Primary Case
"1,963","2,133",1.038529000000,Complete,23-Mar-2011 07:26:21,23-Mar-2011 07:37:49,#NULL!,No,No,No,English,Win32,13,Male,Alberta,Alberta (include NWT),You live with two parents,No,No,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,No,No,No,No,No,No,No,,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,No,#NULL!,#NULL!,4,5,5,4,Heroin,Heroin,#NULL!,#NULL!,#NULL!,#NULL!,Heroin,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Heroin,Somewhat likely,Not very likely,Not very likely,Not very likely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhatserious,Somewhatserious,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Somewhatserious,Somewhatserious,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,Somewhatlikely,Not verylikely,Not verylikely,Somewhat agree,"Yes, in school full-time",B (70% to 79%),Some high school (grades 8 - 11),$41 to $60,No,Yes,37,53,61,Active,Primary Case
"1,967","2,137",1.038529000000,Complete,23-Mar-2011 07:41:22,23-Mar-2011 07:52:39,#NULL!,No,No,No,English,Win32,13,Male,Alberta,Alberta (include NWT),You live with two parents,No,No,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,No,No,No,No,No,No,No,,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,No,#NULL!,#NULL!,5,5,6,5,LSD,L.S.D./acid,#NULL!,#NULL!,#NULL!,#NULL!,LSD/acid,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,LSD,Somewhat likely,Not very likely,Not very likely,Not very likely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhatserious,Somewhatserious,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Somewhatserious,Somewhatserious,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Yes,DK/NA,#NULL!,#NULL!,#NULL!,#NULL!,don't remember,No,Not verylikely,Not verylikely,Not verylikely,Somewhat agree,"Yes, in school full-time",B (70% to 79%),Some high school (grades 8 - 11),$11 to $20,No,Yes,37,53,61,Active,Primary Case
"1,971","2,141",1.038529000000,Complete,23-Mar-2011 07:55:48,23-Mar-2011 08:08:30,#NULL!,No,No,No,English,Win32,13,Male,Alberta,Alberta (include NWT),You live with two parents,No,No,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,No,No,No,No,No,No,No,,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,No,#NULL!,#NULL!,4,5,5,5,LSD,L.S.D./acid,#NULL!,#NULL!,#NULL!,#NULL!,LSD/acid,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,LSD,Somewhat likely,Not very likely,Not very likely,Not very likely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhatserious,Somewhatserious,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Somewhatserious,Somewhatserious,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,Not verylikely,Not verylikely,Not verylikely,Somewhat agree,"Yes, in school full-time",A (80% to 100%),Some high school (grades 8 - 11),$41 to $60,No,Yes,37,53,61,Active,Primary Case
"1,973","2,143",1.038529000000,Complete,23-Mar-2011 08:11:49,23-Mar-2011 08:22:19,#NULL!,No,No,No,English,Win32,13,Male,Alberta,Alberta (include NWT),You live with two parents,No,No,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,No,No,No,No,No,No,No,,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,No,#NULL!,#NULL!,5,6,5,5,Cocaine,Crack/cocaine,#NULL!,#NULL!,#NULL!,#NULL!,Cocaine/crack,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Cocaine,Somewhat likely,Not very likely,Not very likely,Not very likely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhatserious,Somewhatserious,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Somewhatserious,Somewhatserious,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,Somewhatlikely,Not verylikely,Not verylikely,Somewhat agree,"Yes, in school full-time",B (70% to 79%),Some high school (grades 8 - 11),$21 to $40,No,Yes,40,55,63,Active,Primary Case
"1,974","2,144",1.038529000000,Complete,23-Mar-2011 08:25:30,23-Mar-2011 08:37:33,#NULL!,No,No,No,English,Win32,13,Male,Alberta,Alberta (include NWT),You live with two parents,No,No,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,No,No,No,No,No,No,No,,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,No,#NULL!,#NULL!,4,4,5,5,Cocaine,Crack/cocaine,#NULL!,#NULL!,#NULL!,#NULL!,Cocaine/crack,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Cocaine,Somewhat likely,Not very likely,Not very likely,Not very likely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhatserious,Somewhatserious,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Somewhatserious,Somewhatserious,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,Not verylikely,Not verylikely,Somewhatlikely,Somewhat agree,"Yes, in school full-time",B (70% to 79%),Some high school (grades 8 - 11),$21 to $40,No,No,38,54,63,Active,Primary Case
"1,975","2,145",1.018072000000,Complete,23-Mar-2011 08:30:08,23-Mar-2011 08:47:37,#NULL!,No,No,No,Français,Win32,15,Female,Quebec,Quebec,You live with two parents,No,Yes,"Une fille qui se regarde dans le miroir entrain de détruire sa vie avec les drogues.  Elle devient agressive, elle casse des objets dabs sa chambre, bref, la déchéance humaine.",Girl looking in mirror/changing appearance/rhyme,Not doing drugs/they are bad/unhealthy,#NULL!,#NULL!,#NULL!,1,0,0,0,0,0,0,0,0,0,0,0,0,0,#NULL!,,Yes,Yes,No,Yes,Yes,Yes,Yes,Évite les drogues car cela détruit une vie à jamais et c'est difficile d'en sortir.,Drugs can ruin your life/family/future,No,,#NULL!,Yes,No,No,,DK/NA,pas vraiment,Government of Canada/federal government,#NULL!,,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Yes,1,Yes,4,4,4,4,"oh que oui, il ye en a partout à l'école et l'administration ne fait rien.  Snif, speed, hasch, marijuana, ecstasy",Other,Amphetamines/speed,Hashish,Marijuana/cannabis,Ecstasy,Ecstasy/MDMA,Amphetamine/speed,Cocaine/crack,#NULL!,#NULL!,#NULL!,#NULL!,"ecstasy, speed, coke,",Very likely,Not at all likely,Not at all likely,Not at all likely,Yes,Told them no/I don't do drugs,#NULL!,#NULL!,#NULL!,#NULL!,j'ai décliné l'offre et je lui ai répondu de se détruire la santé sans moi,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all dangerous to your health,Not at all dangerous to your health,Not at all dangerous to your health,Not at all dangerous to your health,Not at all dangerous to your health,Not at all dangerous to your health,Not at all dangerous to your health,Not at all dangerous to your health,Not at all dangerous to your health,Not at all dangerous to your health,Veryserious,Not veryserious,Verylikely,Somewhatlikely,Somewhatlikely,Somewhatlikely,Somewhatlikely,Somewhatlikely,Somewhatlikely,Not verylikely,Veryserious,Veryserious,Somewhatlikely,Somewhatlikely,Somewhatlikely,Somewhatlikely,Somewhatlikely,Somewhatlikely,Somewhatlikely,Somewhatlikely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,Not at alllikely,Not at alllikely,Verylikely,Strongly agree,"Yes, in school full-time",A (80% to 100%),Some high school (grades 8 - 11),$41 to $60,No,No,99,105,98,Contemplative,Primary Case
"1,976","2,146",1.038529000000,Complete,23-Mar-2011 08:41:01,23-Mar-2011 08:52:26,#NULL!,No,No,No,English,Win32,13,Male,Alberta,Alberta (include NWT),You live with two parents,No,No,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,No,No,No,No,No,No,No,,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,No,#NULL!,#NULL!,4,4,5,5,LSD,L.S.D./acid,#NULL!,#NULL!,#NULL!,#NULL!,LSD/acid,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,LSD,Somewhat likely,Not very likely,Not very likely,Not very likely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhat dangerous to your health,Somewhatserious,Somewhatserious,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Somewhatserious,Somewhatserious,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,Not verylikely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,Not verylikely,Not verylikely,Somewhatlikely,Somewhat agree,"Yes, in school full-time",A (80% to 100%),Some high school (grades 8 - 11),$41 to $60,No,No,35,51,60,Active,Primary Case
"1,980","2,150",0.974461000000,Complete,23-Mar-2011 09:52:30,23-Mar-2011 09:57:47,#NULL!,No,No,No,English,Win32,13,Female,Ontario,Ontario (include Nunavut),You live part time with one parent and part time with another parent,Yes,Yes,a schoolyard,School,#NULL!,#NULL!,#NULL!,#NULL!,1,0,0,0,0,0,1,1,0,0,0,0,0,0,#NULL!,,Yes,Yes,No,No,No,No,Yes,drugs are a dead end street,Drugs can ruin your life/family/future,No,,#NULL!,No,Yes,No,No,#NULL!,,Government of Canada/federal government,#NULL!,,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Yes,2,Yes,5,5,5,5,"pot, cocaine",Marijuana/cannabis,Crack/cocaine,#NULL!,#NULL!,#NULL!,Marijuana/cannabis,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,pot,Very likely,Not very likely,Not very likely,Not very likely,Yes,Told them no/I don't do drugs,#NULL!,#NULL!,#NULL!,#NULL!,I said no thanks,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Very dangerous to your health,Somewhatserious,Veryserious,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Veryserious,Veryserious,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,Verylikely,No,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,Not at alllikely,Not at alllikely,Somewhatlikely,Strongly agree,"Yes, in school full-time",A (80% to 100%),Completed university (Bachelor,$41 to $60,No,No,181,174,153,Inactive,Primary Case
